t,throttle,steering,x,y,v_x,v_y,U,V,roll,pitch,yaw,p,q,r
0.0,0.34145841002464294,0.0,0.0,-7.62939453125e-06,0.0,0.0,0.0,0.0,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
0.1,0.34145841002464294,0.004986437503248453,0.0,-7.62939453125e-06,-5.34128162144043e-07,-1.1484933537531106e-07,-5.341281624343747e-07,-1.1484933402506968e-07,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
0.2,0.34145841002464294,0.009960014373064041,0.0,-7.62939453125e-06,-6.75449371101422e-07,4.9889807840486355e-09,-6.754493710888102e-07,4.988982491540874e-09,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
0.30000000000000004,0.34145841002464294,0.014907903037965298,0.0,-7.62939453125e-06,-5.7342219861311605e-08,9.411113666146775e-08,-5.734221962340475e-08,9.411113680642517e-08,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
0.4,0.34145841002464294,0.01981734111905098,0.0,-7.62939453125e-06,5.242840188657283e-07,8.374544080425039e-08,5.242840190774314e-07,8.374543947889437e-08,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
0.5,0.34145841002464294,0.02467566914856434,0.0,-7.62939453125e-06,-3.997818396328512e-07,-1.5514125095705822e-07,-3.9978184002503824e-07,-1.5514124994643563e-07,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
0.6000000000000001,0.34145841002464294,0.029470352455973625,0.0,-7.62939453125e-06,1.9283724839169736e-08,4.431500144619349e-08,1.9283724951195187e-08,4.431500139744548e-08,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
0.7000000000000001,0.34145841002464294,0.03418903052806854,0.0,-7.62939453125e-06,-3.093483940119768e-07,-1.9377493742922525e-07,-3.0934839450182726e-07,-1.9377493664721256e-07,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
0.8,0.34145841002464294,0.03881952911615372,0.0,-7.62939453125e-06,-2.4470085691064014e-07,-1.5120481577923783e-07,-2.447008572928761e-07,-1.5120481516064994e-07,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
0.9,0.34145841002464294,0.04334990307688713,0.0,-8.106231689453125e-06,-3.15053547694788e-08,3.5394626252127637e-07,-3.1505353874725584e-08,3.5394626260091986e-07,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
1.0,0.34145841002464294,0.047768473625183105,0.0,-8.106231689453125e-06,2.223689818947605e-07,1.0184526644252401e-07,2.2236898215221874e-07,1.0184526588038963e-07,0.003572109730714736,1.4708937022719858e-19,1.4484001766859818e-07,0.0,0.0,0.0
1.1,0.34145841002464294,0.05206384137272835,0.0071563720703125,0.00022220611572265625,0.1937909722328186,0.004765669349581003,0.1937919201292417,0.004726966882918578,0.0019431471108132075,0.04195101962356877,0.011442651535098896,-0.039158694446086884,1.0330637693405151,0.2980223596096039
1.2000000000000002,0.34145841002464294,0.05622493103146553,0.057861328125,0.0015201568603515625,0.596808671951294,0.012894191779196262,0.5968249263494337,0.012118514178680168,-0.0030212396266265065,0.13599590105928452,0.07446681557822638,-0.04390624538064003,0.6337711811065674,0.724910318851471
1.3,0.34145841002464294,0.060241006314754486,0.12764739990234375,0.0033102035522460938,0.8434520363807678,0.019445938989520073,0.8435020972000575,0.017137509654349868,-0.006256102575840816,0.16769478824769607,0.1568070797201325,-0.035020627081394196,0.19069993495941162,1.0078197717666626
1.4000000000000001,0.34145841002464294,0.06410171091556549,0.23798751831054688,0.0063877105712890625,1.0504554510116577,0.026926588267087936,1.0505791187969677,0.021568747381266806,-0.008666991251356861,0.16508564990794453,0.29221889924221117,-0.01834416389465332,-0.16274496912956238,1.5014972686767578
1.5,0.34145841002464294,0.06779708713293076,0.33177947998046875,0.009218692779541016,1.048879861831665,0.030925661325454712,1.0490724603554158,0.023501787341909334,-0.00857543677444235,0.12214425406577498,0.40549526982644146,-0.013076942414045334,-0.4911697506904602,1.6466398239135742
1.6,0.34145841002464294,0.07131760567426682,0.4499626159667969,0.013203144073486328,1.0701857805252075,0.033766984939575195,1.0704612038630423,0.023465402923094146,-0.007843016776983599,0.08197593284811723,0.5514525466436173,0.012913535349071026,-0.24292290210723877,1.0587102174758911
1.7000000000000002,0.34145841002464294,0.07465419173240662,0.5475654602050781,0.01686382293701172,1.0994315147399902,0.038269493728876114,1.0998098722396887,0.025148651611042218,-0.00738525350458441,0.06368466780540429,0.6836538836950802,0.009374560788273811,-0.15128308534622192,1.2468658685684204
1.8,0.34145841002464294,0.07779822498559952,0.67376708984375,0.022169113159179688,1.1439862251281738,0.04632920026779175,1.1445571294035257,0.028980262456077363,-0.00790405332461236,0.05158841447985528,0.8686764642740769,-0.012384760193526745,-0.09472648054361343,1.8487788438796997
1.9000000000000001,0.34145841002464294,0.08074160665273666,0.7817001342773438,0.02710247039794922,1.1874767541885376,0.05267985165119171,1.1882298293329734,0.03140192974116422,-0.008392334778195187,0.04759275898900481,1.026307317026259,-0.02074127458035946,-0.027399960905313492,2.0384998321533203
2.0,0.34145841002464294,0.08347674459218979,0.9191780090332031,0.033944129943847656,1.2394596338272095,0.05892384052276611,1.2404394672858905,0.032282051801718684,-0.009094238821780277,0.04381566352290497,1.2310205126595137,-0.003937083762139082,-0.035783495754003525,1.630304217338562
